node,degree,clustering_coefficient
0,-0.5473393996261957,-0.763141929543114
747,0.061362965116048405,0.10636336824981651
1,0.23527792647097528,-0.685852569739298
4257,1.7135550979878538,-0.6045996530224658
2194,1.365725175278,0.02044387242047557
580,-0.5473393996261957,-0.763141929543114
6478,1.2787676946005364,-0.5222400288558952
1222,0.6700653298582925,-0.5975218728206511
5735,0.061362965116048405,-0.763141929543114
7146,-0.28646695759380536,-0.18347173101449368
2204,1.5396401366329269,-0.06753769130876955
126,-0.11255199623887847,-0.763141929543114
2639,0.32223540714843874,-0.699905180612719
2,-0.025594515561415034,-0.10066170265326221
562,-0.1995094769163419,-0.41533981042594176
1492,0.061362965116048405,1.100083708584594
6,1.1048527332456097,-0.10414844068952453
5303,0.7570228105357558,-0.38635630049951075
7128,0.23527792647097528,0.24161974790649451
4154,0.14832044579351186,-0.666530229788344
5179,-0.46038191894873226,-0.763141929543114
3,0.9309377718906827,0.07794816243959003
1728,0.32223540714843874,0.31188280227360005
4560,0.49615036850336564,-0.22806174628592596
5060,1.2787676946005364,-0.5824655040276999
1351,-0.025594515561415034,0.8930586376815154
6503,0.32223540714843874,1.0707237894383392
7089,1.2787676946005364,-0.29639449696162745
4319,2.2352999820526342,-0.42060953950347474
6095,1.0178952525681462,-0.2546592992548506
272,-0.28646695759380536,-0.763141929543114
4433,1.6265976173103902,-0.18525533162535096
2900,-0.3734244382712688,-0.763141929543114
3381,2.6700873854399516,-0.1100853189674848
5943,-0.11255199623887847,-0.5312738501316658
2107,0.32223540714843874,0.56482979799518
6940,0.4091928878259022,0.29080388596346846
2013,0.32223540714843874,-0.1307744402391645
6046,0.8439802912132193,0.41324759100026265
5823,1.6265976173103902,-0.26016655728135724
4,-0.5473393996261957,-0.763141929543114
5770,-0.1995094769163419,0.9758686660427469
5,-0.5473393996261957,-0.763141929543114
5454,5.626641728473709,-0.6746945987817048
5856,0.23527792647097528,-0.4539844903278499
667,2.4092149434075614,-0.19613679417562316
6180,1.0178952525681462,0.29450194145647396
598,0.32223540714843874,0.56482979799518
870,0.061362965116048405,0.35479345333351103
3079,0.32223540714843874,0.9442502915775497
1834,1.0178952525681462,-0.3360165201009727
6283,-0.025594515561415034,-0.10066170265326221
7340,0.23527792647097528,-0.06753769130876955
7279,0.4091928878259022,0.08001472286215197
342,0.061362965116048405,0.6032235384172053
4405,-0.5473393996261957,-0.763141929543114
1462,1.1048527332456097,-0.5251720585682066
1284,0.32223540714843874,0.37511955120399504
1551,0.23527792647097528,-0.22211641091640166
3291,-0.1995094769163419,0.9758686660427469
167,1.1048527332456097,-0.1407591900702795
7,0.061362965116048405,-0.6389268870012668
177,-0.025594515561415034,-0.763141929543114
6243,-0.5473393996261957,-0.763141929543114
7589,-0.28646695759380536,-0.763141929543114
2854,9.71364332031449,-0.6873497001955462
6931,0.49615036850336564,0.8866886354998822
6250,-0.11255199623887847,-0.763141929543114
428,-0.5473393996261957,-0.763141929543114
2142,0.9309377718906827,-0.3994272951722149
8,-0.5473393996261957,-0.763141929543114
1686,-0.3734244382712688,-0.763141929543114
9,0.061362965116048405,-0.39049680191757236
4481,-0.5473393996261957,-0.763141929543114
1795,3.713577153569513,-0.6921619052334871
2660,-0.3734244382712688,-0.763141929543114
6053,-0.5473393996261957,-0.763141929543114
246,-0.3734244382712688,0.39619846751412663
3843,-0.3734244382712688,1.5555388645713673
6441,0.583107849180829,-0.38094179864512256
366,-0.3734244382712688,0.39619846751412663
10,-0.5473393996261957,-0.763141929543114
5489,-0.11255199623887847,-0.5312738501316658
11,-0.1995094769163419,-0.06753769130876955
5240,-0.11255199623887847,-0.06753769130876955
618,-0.025594515561415034,-0.10066170265326221
2412,0.23527792647097528,0.24161974790649451
1325,0.4091928878259022,-0.23616902178982277
4919,1.1048527332456097,-0.1407591900702795
12,-0.46038191894873226,2.714879261628608
5274,8.235366148797613,-0.5666550014454687
3807,1.365725175278,-0.4607053042238338
13,1.8874700593427807,0.3419436213464233
1794,0.8439802912132193,0.515542331917078
3971,0.061362965116048405,0.9758686660427469
1223,2.2352999820526342,0.7255565348599338
6152,-0.1995094769163419,0.628066546925575
5385,-0.5473393996261957,-0.763141929543114
1509,4.061407076279367,0.13856726816807316
524,14.322389796220053,-0.49896746534218833
4770,0.6700653298582925,1.4892908418823823
1937,8.583196071507466,-0.1937839232255149
7315,0.32223540714843874,0.8810135426471547
1817,1.800512578665317,0.7550419237461298
6298,0.8439802912132193,1.154884462647174
2266,0.4091928878259022,1.1339605383687341
3557,1.8874700593427807,0.8473703461718706
5857,6.40925905457088,-0.00420335480286482
866,2.0613850206977076,0.6355461623904602
2789,-0.46038191894873226,-0.763141929543114
3559,0.6700653298582925,0.6611905582700673
4904,2.6700873854399516,0.9338157782405283
6565,0.32223540714843874,1.6398545298118938
5355,2.148342501375171,0.6252616911262427
620,-0.5473393996261957,-0.763141929543114
110,7.1049188999905875,-0.19827434078284456
2835,3.8874921149244397,0.2624284216998297
3316,-0.11255199623887847,1.323670785159919
6712,4.930981883054001,0.006301250646661782
1850,2.2352999820526342,0.027317432086822805
4860,2.2352999820526342,1.0153916341242437
4606,1.1048527332456097,1.1955331623272767
14,-0.28646695759380536,2.1352090630999876
5862,1.0178952525681462,-0.1529627731971979
2155,0.061362965116048405,0.35479345333351103
